Review Text,O,C,E,A,N
So simple and powerful.,0.95,0.9,0.85,0.8,0.05
Terrible delivery service.,0.1,0.05,0.1,0.1,0.9
Top-tier design and comfort.,0.95,0.9,0.85,0.8,0.05
Defective and noisy product.,0.1,0.05,0.1,0.1,0.9
Well-structured and very fluid.,0.95,0.9,0.85,0.8,0.05
The team didn’t help at all.,0.1,0.05,0.1,0.1,0.9
Brilliant look and feel.,0.95,0.9,0.85,0.8,0.05
Never got my replacement.,0.1,0.05,0.1,0.1,0.9
Impressive handling and feel.,0.95,0.9,0.85,0.8,0.05
The experience was terrible.,0.1,0.05,0.1,0.1,0.9
Reliable and very refined.,0.95,0.9,0.85,0.8,0.05
Completely broken packaging.,0.1,0.05,0.1,0.1,0.9
Outstanding layout and controls.,0.95,0.9,0.85,0.8,0.05
It crashed multiple times.,0.1,0.05,0.1,0.1,0.9
Highly usable and clear system.,0.95,0.9,0.85,0.8,0.05
Still haven’t received tracking.,0.1,0.05,0.1,0.1,0.9
Luxurious shape and easy flow.,0.95,0.9,0.85,0.8,0.05
Very frustrating experience.,0.1,0.05,0.1,0.1,0.9
Looks excellent and operates well.,0.95,0.9,0.85,0.8,0.05
Not satisfied with the quality.,0.1,0.05,0.1,0.1,0.9
Super easy to install and use.,0.95,0.9,0.85,0.8,0.05
Product was broken on arrival.,0.1,0.05,0.1,0.1,0.9
"Elegant, smooth and responsive.",0.95,0.9,0.85,0.8,0.05
No help from customer service.,0.1,0.05,0.1,0.1,0.9
"Works flawlessly, I love it.",0.95,0.9,0.85,0.8,0.05
Still no response from support.,0.1,0.05,0.1,0.1,0.9
High-quality and beautifully built.,0.95,0.9,0.85,0.8,0.05
Completely ignored my issue.,0.1,0.05,0.1,0.1,0.9
Everything runs quietly and fast.,0.95,0.9,0.85,0.8,0.05
Poorly handled shipping process.,0.1,0.05,0.1,0.1,0.9
Refined and professional device.,0.95,0.9,0.85,0.8,0.05
Worst packaging I’ve seen.,0.1,0.05,0.1,0.1,0.9
Great functionality and look.,0.95,0.9,0.85,0.8,0.05
Never got a follow-up.,0.1,0.05,0.1,0.1,0.9
Amazing usability and comfort.,0.95,0.9,0.85,0.8,0.05
Support just disappeared.,0.1,0.05,0.1,0.1,0.9
Feels premium and very sleek.,0.95,0.9,0.85,0.8,0.05
No solution after many emails.,0.1,0.05,0.1,0.1,0.9
Impressive performance and flow.,0.95,0.9,0.85,0.8,0.05
Still fighting to get help.,0.1,0.05,0.1,0.1,0.9
Great speed and reliability.,0.95,0.9,0.85,0.8,0.05
Wrong model was delivered.,0.1,0.05,0.1,0.1,0.9
Highly intuitive experience.,0.95,0.9,0.85,0.8,0.05
They refused to acknowledge the issue.,0.1,0.05,0.1,0.1,0.9
Product is fast and elegant.,0.95,0.9,0.85,0.8,0.05
Nothing in the box matched.,0.1,0.05,0.1,0.1,0.9
Outstanding construction and design.,0.95,0.9,0.85,0.8,0.05
Disappointing service and delay.,0.1,0.05,0.1,0.1,0.9
Flawless interaction and setup.,0.95,0.9,0.85,0.8,0.05
Completely failed to deliver.,0.1,0.05,0.1,0.1,0.9
Beautiful and highly functional.,0.95,0.9,0.85,0.8,0.05
Still waiting for feedback.,0.1,0.05,0.1,0.1,0.9
Incredible visuals and comfort.,0.95,0.9,0.85,0.8,0.05
I’ve been ignored for weeks.,0.1,0.05,0.1,0.1,0.9
Simple and modern appearance.,0.95,0.9,0.85,0.8,0.05
Worst device I’ve ever received.,0.1,0.05,0.1,0.1,0.9
Top marks for quality and speed.,0.95,0.9,0.85,0.8,0.05
The whole return was a mess.,0.1,0.05,0.1,0.1,0.9
Feels intelligent and well designed.,0.95,0.9,0.85,0.8,0.05
App crashes every time.,0.1,0.05,0.1,0.1,0.9
So reliable and nicely made.,0.95,0.9,0.85,0.8,0.05
They didn’t even answer me.,0.1,0.05,0.1,0.1,0.9
Clean and pleasant structure.,0.95,0.9,0.85,0.8,0.05
They left my issue unresolved.,0.1,0.05,0.1,0.1,0.9
Very elegant in every detail.,0.95,0.9,0.85,0.8,0.05
No update since purchase.,0.1,0.05,0.1,0.1,0.9
Perfect balance and usability.,0.95,0.9,0.85,0.8,0.05
Horrible team and bad delivery.,0.1,0.05,0.1,0.1,0.9
"Professional, light and fast.",0.95,0.9,0.85,0.8,0.05
No replacement was offered.,0.1,0.05,0.1,0.1,0.9
Looks classy and performs well.,0.95,0.9,0.85,0.8,0.05
Had to send multiple complaints.,0.1,0.05,0.1,0.1,0.9
Everything is working like magic.,0.95,0.9,0.85,0.8,0.05
The device came completely dead.,0.1,0.05,0.1,0.1,0.9
So smooth and simple to use.,0.95,0.9,0.85,0.8,0.05
Disaster of a support system.,0.1,0.05,0.1,0.1,0.9
Sharp features and polished body.,0.95,0.9,0.85,0.8,0.05
They didn’t care at all.,0.1,0.05,0.1,0.1,0.9
Very clever and minimal design.,0.95,0.9,0.85,0.8,0.05
Refund was never issued.,0.1,0.05,0.1,0.1,0.9
Quiet and efficient performance.,0.95,0.9,0.85,0.8,0.05
The product was incomplete.,0.1,0.05,0.1,0.1,0.9
Top notch materials and logic.,0.95,0.9,0.85,0.8,0.05
They never replied to tickets.,0.1,0.05,0.1,0.1,0.9
Extremely clean and powerful.,0.95,0.9,0.85,0.8,0.05
It was a total waste of money.,0.1,0.05,0.1,0.1,0.9
Feels refined and effortless.,0.95,0.9,0.85,0.8,0.05
Worst first impression ever.,0.1,0.05,0.1,0.1,0.9
Very stylish and professional.,0.95,0.9,0.85,0.8,0.05
Took too long to arrive.,0.1,0.05,0.1,0.1,0.9
I’m amazed by the layout.,0.95,0.9,0.85,0.8,0.05
Nothing was explained properly.,0.1,0.05,0.1,0.1,0.9
Everything is incredibly fast.,0.95,0.9,0.85,0.8,0.05
They made it worse actually.,0.1,0.05,0.1,0.1,0.9
Really strong and elegant.,0.95,0.9,0.85,0.8,0.05
I wouldn’t recommend this.,0.1,0.05,0.1,0.1,0.9
Awesome functionality and finish.,0.95,0.9,0.85,0.8,0.05
Horrible attitude from team.,0.1,0.05,0.1,0.1,0.9
"Modern, sleek and smart.",0.95,0.9,0.85,0.8,0.05
Terribly assembled and slow.,0.1,0.05,0.1,0.1,0.9
Super fluid experience.,0.95,0.9,0.85,0.8,0.05
They completely ignored me.,0.1,0.05,0.1,0.1,0.9
Looks great and works even better.,0.95,0.9,0.85,0.8,0.05
Very bad attention to detail.,0.1,0.05,0.1,0.1,0.9
Highly polished and silent.,0.95,0.9,0.85,0.8,0.05
No apology or effort to help.,0.1,0.05,0.1,0.1,0.9
Neat structure and design.,0.95,0.9,0.85,0.8,0.05
Terrible mess from start.,0.1,0.05,0.1,0.1,0.9
Well-built and stable.,0.95,0.9,0.85,0.8,0.05
Absolutely no follow-up.,0.1,0.05,0.1,0.1,0.9
Easy setup and operation.,0.95,0.9,0.85,0.8,0.05
Customer care was horrible.,0.1,0.05,0.1,0.1,0.9
Top-tier visuals and feel.,0.95,0.9,0.85,0.8,0.05
They never returned my call.,0.1,0.05,0.1,0.1,0.9
Simply a great product.,0.95,0.9,0.85,0.8,0.05
Very frustrating support.,0.1,0.05,0.1,0.1,0.9
Efficient and gorgeous interface.,0.95,0.9,0.85,0.8,0.05
The device never powered on.,0.1,0.05,0.1,0.1,0.9
Fantastic shape and controls.,0.95,0.9,0.85,0.8,0.05
No support after delivery.,0.1,0.05,0.1,0.1,0.9
The setup was fast and effortless.,0.95,0.9,0.85,0.8,0.05
Horrible customer care experience.,0.1,0.05,0.1,0.1,0.9
Super clean and responsive interface.,0.95,0.9,0.85,0.8,0.05
They didn’t help at all.,0.1,0.05,0.1,0.1,0.9
Everything worked as expected.,0.95,0.9,0.85,0.8,0.05
Worst delivery and refund ever.,0.1,0.05,0.1,0.1,0.9
Very pleasant and professional device.,0.95,0.9,0.85,0.8,0.05
No way to contact anyone.,0.1,0.05,0.1,0.1,0.9
"Simple, smart and efficient.",0.95,0.9,0.85,0.8,0.05
They refused to acknowledge my request.,0.1,0.05,0.1,0.1,0.9
Beautiful and very reliable.,0.95,0.9,0.85,0.8,0.05
Treated me very poorly.,0.1,0.05,0.1,0.1,0.9
Incredible speed and design.,0.95,0.9,0.85,0.8,0.05
Nothing from the box was usable.,0.1,0.05,0.1,0.1,0.9
It’s well structured and sleek.,0.95,0.9,0.85,0.8,0.05
Too many issues with this product.,0.1,0.05,0.1,0.1,0.9
Totally worth the price.,0.95,0.9,0.85,0.8,0.05
Didn’t function from the start.,0.1,0.05,0.1,0.1,0.9
Great handling and quality.,0.95,0.9,0.85,0.8,0.05
Wasted hours trying to get help.,0.1,0.05,0.1,0.1,0.9
Very elegant and robust.,0.95,0.9,0.85,0.8,0.05
Absolutely terrible packaging.,0.1,0.05,0.1,0.1,0.9
Everything runs like a dream.,0.95,0.9,0.85,0.8,0.05
I had to fix it myself.,0.1,0.05,0.1,0.1,0.9
Perfectly built and silent.,0.95,0.9,0.85,0.8,0.05
No answer from their team.,0.1,0.05,0.1,0.1,0.9
Looks and feels fantastic.,0.95,0.9,0.85,0.8,0.05
Couldn’t use it at all.,0.1,0.05,0.1,0.1,0.9
Refined shape and performance.,0.95,0.9,0.85,0.8,0.05
They ignored every complaint.,0.1,0.05,0.1,0.1,0.9
Satisfying experience overall.,0.95,0.9,0.85,0.8,0.05
No one processed my return.,0.1,0.05,0.1,0.1,0.9
Design is sharp and fluid.,0.95,0.9,0.85,0.8,0.05
Product came broken twice.,0.1,0.05,0.1,0.1,0.9
Neat layout and polished build.,0.95,0.9,0.85,0.8,0.05
I’m still waiting on updates.,0.1,0.05,0.1,0.1,0.9
Awesome product and handling.,0.95,0.9,0.85,0.8,0.05
Worst online purchase ever.,0.1,0.05,0.1,0.1,0.9
Very responsive and solid.,0.95,0.9,0.85,0.8,0.05
Couldn’t reach anyone by phone.,0.1,0.05,0.1,0.1,0.9
Top-level materials and form.,0.95,0.9,0.85,0.8,0.05
Zero support throughout.,0.1,0.05,0.1,0.1,0.9
I highly recommend this product.,0.95,0.9,0.85,0.8,0.05
Unacceptable delay in replies.,0.1,0.05,0.1,0.1,0.9
The item exceeded expectations.,0.95,0.9,0.85,0.8,0.05
They didn’t resolve anything.,0.1,0.05,0.1,0.1,0.9
So smooth and enjoyable to use.,0.95,0.9,0.85,0.8,0.05
Too many flaws and errors.,0.1,0.05,0.1,0.1,0.9
"Minimalist design, maximum function.",0.95,0.9,0.85,0.8,0.05
No instructions in the package.,0.1,0.05,0.1,0.1,0.9
Professional finish and look.,0.95,0.9,0.85,0.8,0.05
No follow-up despite promise.,0.1,0.05,0.1,0.1,0.9
Lovely device and support.,0.95,0.9,0.85,0.8,0.05
Can’t use it in current state.,0.1,0.05,0.1,0.1,0.9
Really polished and stylish.,0.95,0.9,0.85,0.8,0.05
Still no response received.,0.1,0.05,0.1,0.1,0.9
Great product with clean UI.,0.95,0.9,0.85,0.8,0.05
They won’t help with returns.,0.1,0.05,0.1,0.1,0.9
So lightweight and fast.,0.95,0.9,0.85,0.8,0.05
Awful performance from start.,0.1,0.05,0.1,0.1,0.9
Super smart design and layout.,0.95,0.9,0.85,0.8,0.05
The plug didn’t work at all.,0.1,0.05,0.1,0.1,0.9
Brilliant concept and feel.,0.95,0.9,0.85,0.8,0.05
Worst return policy I’ve dealt with.,0.1,0.05,0.1,0.1,0.9
Very solid and well thought.,0.95,0.9,0.85,0.8,0.05
They sent the wrong item again.,0.1,0.05,0.1,0.1,0.9
Highly usable and elegant.,0.95,0.9,0.85,0.8,0.05
Nothing arrived on time.,0.1,0.05,0.1,0.1,0.9
Impressive structure and usability.,0.95,0.9,0.85,0.8,0.05
Completely ignored my emails.,0.1,0.05,0.1,0.1,0.9
Feels premium in all aspects.,0.95,0.9,0.85,0.8,0.05
This brand is unreliable.,0.1,0.05,0.1,0.1,0.9
I’m happy with every feature.,0.95,0.9,0.85,0.8,0.05
So disappointed by everything.,0.1,0.05,0.1,0.1,0.9
Everything flows beautifully.,0.95,0.9,0.85,0.8,0.05
Bad response time from service.,0.1,0.05,0.1,0.1,0.9
A seamless and efficient device.,0.95,0.9,0.85,0.8,0.05
It broke after one use.,0.1,0.05,0.1,0.1,0.9
Totally practical and refined.,0.95,0.9,0.85,0.8,0.05
They didn’t keep any promises.,0.1,0.05,0.1,0.1,0.9
Everything just works perfectly.,0.95,0.9,0.85,0.8,0.05
Had to escalate to get help.,0.1,0.05,0.1,0.1,0.9
Highly functional and simple.,0.95,0.9,0.85,0.8,0.05
Worst interface I’ve seen.,0.1,0.05,0.1,0.1,0.9
Such a great experience.,0.95,0.9,0.85,0.8,0.05
They never gave feedback.,0.1,0.05,0.1,0.1,0.9
Incredible quality and smooth flow.,0.95,0.9,0.85,0.8,0.05
The app kept crashing.,0.1,0.05,0.1,0.1,0.9
Very neat and professional.,0.95,0.9,0.85,0.8,0.05
Very poor packaging quality.,0.1,0.05,0.1,0.1,0.9
"Fast, clean, and effective.",0.95,0.9,0.85,0.8,0.05
Couldn’t make it run.,0.1,0.05,0.1,0.1,0.9
Love the build and finish.,0.95,0.9,0.85,0.8,0.05
Useless product and team.,0.1,0.05,0.1,0.1,0.9
"Beautiful, easy and intuitive.",0.95,0.9,0.85,0.8,0.05
They ignored all questions.,0.1,0.05,0.1,0.1,0.9
Really stunning and functional.,0.95,0.9,0.85,0.8,0.05
Didn’t receive proper accessories.,0.1,0.05,0.1,0.1,0.9
Everything went smoothly and quickly.,0.95,0.9,0.85,0.8,0.05
Can’t recommend it to anyone.,0.1,0.05,0.1,0.1,0.9
Perfect delivery and excellent design.,0.95,0.9,0.85,0.8,0.05
Still no answer after many days.,0.1,0.05,0.1,0.1,0.9
I’m extremely happy with this item.,0.95,0.9,0.85,0.8,0.05
The device arrived totally broken.,0.1,0.05,0.1,0.1,0.9
"Fast, stylish, and practical.",0.95,0.9,0.85,0.8,0.05
They completely ignored my refund request.,0.1,0.05,0.1,0.1,0.9
Really good flow and finish.,0.95,0.9,0.85,0.8,0.05
Still unresolved and frustrating.,0.1,0.05,0.1,0.1,0.9
Great value and thoughtful features.,0.95,0.9,0.85,0.8,0.05
Zero support after purchase.,0.1,0.05,0.1,0.1,0.9
Everything was top quality.,0.95,0.9,0.85,0.8,0.05
No confirmation email received.,0.1,0.05,0.1,0.1,0.9
Amazing performance and beauty.,0.95,0.9,0.85,0.8,0.05
They didn't even check my case.,0.1,0.05,0.1,0.1,0.9
So easy to set up and use.,0.95,0.9,0.85,0.8,0.05
Very disappointed by the experience.,0.1,0.05,0.1,0.1,0.9
Visually stunning and quick.,0.95,0.9,0.85,0.8,0.05
Worst refund experience so far.,0.1,0.05,0.1,0.1,0.9
"Clean, modern and very smooth.",0.95,0.9,0.85,0.8,0.05
Tried many times with no help.,0.1,0.05,0.1,0.1,0.9
Fast and reliable product.,0.95,0.9,0.85,0.8,0.05
Support was completely useless.,0.1,0.05,0.1,0.1,0.9
Excellent grip and features.,0.95,0.9,0.85,0.8,0.05
Can’t believe this happened.,0.1,0.05,0.1,0.1,0.9
Looks elegant and runs quiet.,0.95,0.9,0.85,0.8,0.05
No help despite multiple emails.,0.1,0.05,0.1,0.1,0.9
"Simple, beautiful and stable.",0.95,0.9,0.85,0.8,0.05
Everything was wrong in the box.,0.1,0.05,0.1,0.1,0.9
Amazing packaging and delivery.,0.95,0.9,0.85,0.8,0.05
Didn’t receive what I ordered.,0.1,0.05,0.1,0.1,0.9
Very polished and well thought.,0.95,0.9,0.85,0.8,0.05
Return took over three weeks.,0.1,0.05,0.1,0.1,0.9
High-end look and performance.,0.95,0.9,0.85,0.8,0.05
Had to complain several times.,0.1,0.05,0.1,0.1,0.9
Incredible feel and functionality.,0.95,0.9,0.85,0.8,0.05
They never issued a refund.,0.1,0.05,0.1,0.1,0.9
Top product in every way.,0.95,0.9,0.85,0.8,0.05
Nobody responded to my messages.,0.1,0.05,0.1,0.1,0.9
"Refined, fast and minimal.",0.95,0.9,0.85,0.8,0.05
Still no reply from the company.,0.1,0.05,0.1,0.1,0.9
Effortless use and top materials.,0.95,0.9,0.85,0.8,0.05
Unacceptable delays everywhere.,0.1,0.05,0.1,0.1,0.9
Very efficient and elegant.,0.95,0.9,0.85,0.8,0.05
Worst manual ever included.,0.1,0.05,0.1,0.1,0.9
Love the interaction and flow.,0.95,0.9,0.85,0.8,0.05
Item didn’t meet expectations.,0.1,0.05,0.1,0.1,0.9
"Neat, smart, and intuitive.",0.95,0.9,0.85,0.8,0.05
Broken part included in box.,0.1,0.05,0.1,0.1,0.9
Pleasant experience and great speed.,0.95,0.9,0.85,0.8,0.05
Nothing worked right away.,0.1,0.05,0.1,0.1,0.9
Really practical and refined.,0.95,0.9,0.85,0.8,0.05
Completely useless instructions.,0.1,0.05,0.1,0.1,0.9
Elegant visuals and smooth response.,0.95,0.9,0.85,0.8,0.05
Still waiting on basic support.,0.1,0.05,0.1,0.1,0.9
Professional handling and finish.,0.95,0.9,0.85,0.8,0.05
App never started properly.,0.1,0.05,0.1,0.1,0.9
Everything looks and feels premium.,0.95,0.9,0.85,0.8,0.05
Return process was awful.,0.1,0.05,0.1,0.1,0.9
Very elegant and affordable.,0.95,0.9,0.85,0.8,0.05
Zero attention to my case.,0.1,0.05,0.1,0.1,0.9
Top experience and great details.,0.95,0.9,0.85,0.8,0.05
Worst handling by customer service.,0.1,0.05,0.1,0.1,0.9
Smooth setup and flawless UI.,0.95,0.9,0.85,0.8,0.05
They forgot a key component.,0.1,0.05,0.1,0.1,0.9
Extremely well built and clean.,0.95,0.9,0.85,0.8,0.05
Was a pain to get working.,0.1,0.05,0.1,0.1,0.9
Awesome UI and simple controls.,0.95,0.9,0.85,0.8,0.05
They ignored my whole request.,0.1,0.05,0.1,0.1,0.9
Quick delivery and top usability.,0.95,0.9,0.85,0.8,0.05
Nothing was configured properly.,0.1,0.05,0.1,0.1,0.9
Feels like a luxury product.,0.95,0.9,0.85,0.8,0.05
Many errors during operation.,0.1,0.05,0.1,0.1,0.9
Satisfying performance and style.,0.95,0.9,0.85,0.8,0.05
They lied about features.,0.1,0.05,0.1,0.1,0.9
Highly intuitive and responsive.,0.95,0.9,0.85,0.8,0.05
Still no tracking or update.,0.1,0.05,0.1,0.1,0.9
Great performance and beautiful look.,0.95,0.9,0.85,0.8,0.05
Totally wrong product delivered.,0.1,0.05,0.1,0.1,0.9
Very solid and stable device.,0.95,0.9,0.85,0.8,0.05
Nothing helped from their guide.,0.1,0.05,0.1,0.1,0.9
Super fast and elegant.,0.95,0.9,0.85,0.8,0.05
Completely failed to assist.,0.1,0.05,0.1,0.1,0.9
Excellent speed and visuals.,0.95,0.9,0.85,0.8,0.05
Support was slow and rude.,0.1,0.05,0.1,0.1,0.9
So intuitive and sharp.,0.95,0.9,0.85,0.8,0.05
Worst interface for a device.,0.1,0.05,0.1,0.1,0.9
Product feels premium and sleek.,0.95,0.9,0.85,0.8,0.05
Return was never processed.,0.1,0.05,0.1,0.1,0.9
Brilliant setup and workflow.,0.95,0.9,0.85,0.8,0.05
Couldn’t fix anything with support.,0.1,0.05,0.1,0.1,0.9
Awesome product and experience.,0.95,0.9,0.85,0.8,0.05
They made no effort to fix it.,0.1,0.05,0.1,0.1,0.9
Perfect fit and finish.,0.95,0.9,0.85,0.8,0.05
I had to troubleshoot alone.,0.1,0.05,0.1,0.1,0.9
Incredible design and usability.,0.95,0.9,0.85,0.8,0.05
Really clumsy customer support.,0.1,0.05,0.1,0.1,0.9
Everything is smooth and accurate.,0.95,0.9,0.85,0.8,0.05
They didn’t care at all.,0.1,0.05,0.1,0.1,0.9
Great balance and functionality.,0.95,0.9,0.85,0.8,0.05
This was a terrible purchase.,0.1,0.05,0.1,0.1,0.9
Very efficient and smooth product.,0.95,0.9,0.85,0.8,0.05
They still haven’t fixed my issue.,0.1,0.05,0.1,0.1,0.9
Awesome structure and intuitive interface.,0.95,0.9,0.85,0.8,0.05
Worst delivery and follow-up.,0.1,0.05,0.1,0.1,0.9
Love how clean everything is.,0.95,0.9,0.85,0.8,0.05
Terrible help from the service team.,0.1,0.05,0.1,0.1,0.9
Everything works like a charm.,0.95,0.9,0.85,0.8,0.05
Customer care didn’t listen at all.,0.1,0.05,0.1,0.1,0.9
Great layout and speed.,0.95,0.9,0.85,0.8,0.05
The device doesn’t even turn on.,0.1,0.05,0.1,0.1,0.9
Refined build and design logic.,0.95,0.9,0.85,0.8,0.05
Still nothing from their support.,0.1,0.05,0.1,0.1,0.9
Quick setup and nice performance.,0.95,0.9,0.85,0.8,0.05
Nothing arrived on time again.,0.1,0.05,0.1,0.1,0.9
Fast response and good feedback.,0.95,0.9,0.85,0.8,0.05
I had to contact them five times.,0.1,0.05,0.1,0.1,0.9
Impressive visuals and structure.,0.95,0.9,0.85,0.8,0.05
They sent me a broken product.,0.1,0.05,0.1,0.1,0.9
I love the usability here.,0.95,0.9,0.85,0.8,0.05
Zero response to complaints.,0.1,0.05,0.1,0.1,0.9
Very stable and good quality.,0.95,0.9,0.85,0.8,0.05
Still no resolution received.,0.1,0.05,0.1,0.1,0.9
Extremely smart and lightweight.,0.95,0.9,0.85,0.8,0.05
No solution was proposed.,0.1,0.05,0.1,0.1,0.9
Amazing quality and visuals.,0.95,0.9,0.85,0.8,0.05
I regret buying from them.,0.1,0.05,0.1,0.1,0.9
Great blend of style and speed.,0.95,0.9,0.85,0.8,0.05
No one followed up.,0.1,0.05,0.1,0.1,0.9
Outstanding responsiveness.,0.95,0.9,0.85,0.8,0.05
Return process was awful.,0.1,0.05,0.1,0.1,0.9
Flawless and clean interface.,0.95,0.9,0.85,0.8,0.05
Package was torn and incomplete.,0.1,0.05,0.1,0.1,0.9
Professional layout and experience.,0.95,0.9,0.85,0.8,0.05
Couldn’t reach anyone still.,0.1,0.05,0.1,0.1,0.9
Highly practical and refined.,0.95,0.9,0.85,0.8,0.05
Every step was a disaster.,0.1,0.05,0.1,0.1,0.9
Reliable and elegant look.,0.95,0.9,0.85,0.8,0.05
They refused to refund me.,0.1,0.05,0.1,0.1,0.9
Modern and very usable product.,0.95,0.9,0.85,0.8,0.05
Still no explanation provided.,0.1,0.05,0.1,0.1,0.9
Feels premium and fluid.,0.95,0.9,0.85,0.8,0.05
Support was slow and ineffective.,0.1,0.05,0.1,0.1,0.9
Nice balance of power and control.,0.95,0.9,0.85,0.8,0.05
Worst customer journey I had.,0.1,0.05,0.1,0.1,0.9
Neat product and logical flow.,0.95,0.9,0.85,0.8,0.05
Still unresolved and ignored.,0.1,0.05,0.1,0.1,0.9
Polished UI and excellent form.,0.95,0.9,0.85,0.8,0.05
They just stopped replying.,0.1,0.05,0.1,0.1,0.9
Effortless and enjoyable experience.,0.95,0.9,0.85,0.8,0.05
Nothing worked properly again.,0.1,0.05,0.1,0.1,0.9
"Stylish, modern and responsive.",0.95,0.9,0.85,0.8,0.05
Awful return service.,0.1,0.05,0.1,0.1,0.9
The structure is brilliant.,0.95,0.9,0.85,0.8,0.05
Couldn’t make it work at all.,0.1,0.05,0.1,0.1,0.9
Everything is seamless and fast.,0.95,0.9,0.85,0.8,0.05
Refund request ignored.,0.1,0.05,0.1,0.1,0.9
Professional look and feel.,0.95,0.9,0.85,0.8,0.05
Had to contact them again and again.,0.1,0.05,0.1,0.1,0.9
Great delivery and setup.,0.95,0.9,0.85,0.8,0.05
The product didn’t even start.,0.1,0.05,0.1,0.1,0.9
Very thoughtful and smart design.,0.95,0.9,0.85,0.8,0.05
Totally unusable experience.,0.1,0.05,0.1,0.1,0.9
Super sharp and responsive.,0.95,0.9,0.85,0.8,0.05
They never sent confirmation.,0.1,0.05,0.1,0.1,0.9
Wonderful quality and speed.,0.95,0.9,0.85,0.8,0.05
Worst product manual ever.,0.1,0.05,0.1,0.1,0.9
Highly intuitive structure.,0.95,0.9,0.85,0.8,0.05
Nothing they said was true.,0.1,0.05,0.1,0.1,0.9
Nice execution and logic.,0.95,0.9,0.85,0.8,0.05
Support did absolutely nothing.,0.1,0.05,0.1,0.1,0.9
Really fast and easy to use.,0.95,0.9,0.85,0.8,0.05
Disappointed again by the team.,0.1,0.05,0.1,0.1,0.9
Refined interface and form.,0.95,0.9,0.85,0.8,0.05
Nothing matched the description.,0.1,0.05,0.1,0.1,0.9
All features worked perfectly.,0.95,0.9,0.85,0.8,0.05
The charger didn’t work.,0.1,0.05,0.1,0.1,0.9
Impressive visuals and clarity.,0.95,0.9,0.85,0.8,0.05
Completely ignored my requests.,0.1,0.05,0.1,0.1,0.9
Simple to handle and run.,0.95,0.9,0.85,0.8,0.05
Had to argue for days.,0.1,0.05,0.1,0.1,0.9
Top-level material and look.,0.95,0.9,0.85,0.8,0.05
Still no result or refund.,0.1,0.05,0.1,0.1,0.9
Fantastic shape and system.,0.95,0.9,0.85,0.8,0.05
Worst item I’ve received.,0.1,0.05,0.1,0.1,0.9
Perfect transition and layout.,0.95,0.9,0.85,0.8,0.05
No help from their email.,0.1,0.05,0.1,0.1,0.9
Amazing interaction and speed.,0.95,0.9,0.85,0.8,0.05
The item stopped working fast.,0.1,0.05,0.1,0.1,0.9
Smart and attractive appearance.,0.95,0.9,0.85,0.8,0.05
Couldn’t even register the device.,0.1,0.05,0.1,0.1,0.9
Everything loaded very quickly.,0.95,0.9,0.85,0.8,0.05
Return process was exhausting.,0.1,0.05,0.1,0.1,0.9
"Fast, fluid and functional.",0.95,0.9,0.85,0.8,0.05
I had to solve it myself.,0.1,0.05,0.1,0.1,0.9
So elegant and efficient.,0.95,0.9,0.85,0.8,0.05
Worst technical assistance.,0.1,0.05,0.1,0.1,0.9
Powerful and quiet operation.,0.95,0.9,0.85,0.8,0.05
No response on complaint ticket.,0.1,0.05,0.1,0.1,0.9
Great quality and amazing feel.,0.95,0.9,0.85,0.8,0.05
They mishandled the entire case.,0.1,0.05,0.1,0.1,0.9
Everything runs so fluid and quick.,0.95,0.9,0.85,0.8,0.05
They haven’t responded in days.,0.1,0.05,0.1,0.1,0.9
Excellent balance and performance.,0.95,0.9,0.85,0.8,0.05
Horrible packaging and missing items.,0.1,0.05,0.1,0.1,0.9
Super intuitive and refined device.,0.95,0.9,0.85,0.8,0.05
Still waiting for any response.,0.1,0.05,0.1,0.1,0.9
Looks beautiful and works fast.,0.95,0.9,0.85,0.8,0.05
Support just stopped replying.,0.1,0.05,0.1,0.1,0.9
Very stylish and efficient.,0.95,0.9,0.85,0.8,0.05
Still broken after weeks.,0.1,0.05,0.1,0.1,0.9
Perfect layout and structure.,0.95,0.9,0.85,0.8,0.05
They never fixed the issue.,0.1,0.05,0.1,0.1,0.9
Clean interface and fast load.,0.95,0.9,0.85,0.8,0.05
Absolutely no help provided.,0.1,0.05,0.1,0.1,0.9
Fantastic design and workflow.,0.95,0.9,0.85,0.8,0.05
I got nothing useful from them.,0.1,0.05,0.1,0.1,0.9
Elegant UI and seamless process.,0.95,0.9,0.85,0.8,0.05
Support ignored all messages.,0.1,0.05,0.1,0.1,0.9
Brilliant performance and form.,0.95,0.9,0.85,0.8,0.05
Still trying to return it.,0.1,0.05,0.1,0.1,0.9
Extremely practical and light.,0.95,0.9,0.85,0.8,0.05
Very bad return experience.,0.1,0.05,0.1,0.1,0.9
Great visuals and interaction.,0.95,0.9,0.85,0.8,0.05
Didn’t process my request.,0.1,0.05,0.1,0.1,0.9
Refined features and polish.,0.95,0.9,0.85,0.8,0.05
Completely messed up my order.,0.1,0.05,0.1,0.1,0.9
Beautiful and professional system.,0.95,0.9,0.85,0.8,0.05
Took weeks to get support.,0.1,0.05,0.1,0.1,0.9
Reliable and fast experience.,0.95,0.9,0.85,0.8,0.05
No help even after escalation.,0.1,0.05,0.1,0.1,0.9
Wonderful usability and design.,0.95,0.9,0.85,0.8,0.05
Worst refund system I’ve seen.,0.1,0.05,0.1,0.1,0.9
